Frequency(Hz), Magnitude(dB)
88.087,8.044237295
89.191,8.059237295
90.309,8.073237295
91.44,8.085237295
92.586,8.094237295
93.746,8.102237295
94.921,8.109237295
96.11,8.112237295
97.315,8.108237295
98.534,8.091237295
99.769,8.066237295
101.019,8.044237295
102.284,8.033237295
103.566,8.026237295
104.864,8.013237295
106.178,7.994237295
107.508,7.974237295
108.855,7.953237295
110.219,7.932237295
111.6,7.912237295
112.999,7.891237295
114.414,7.863237295
115.848,7.829237295
117.3,7.794237295
118.769,7.760237295
120.258,7.727237295
121.764,7.696237295
123.29,7.669237295
124.835,7.644237295
126.399,7.619237295
127.983,7.591237295
129.587,7.564237295
131.21,7.536237295
132.854,7.501237295
134.519,7.459237295
136.205,7.412237295
137.911,7.369237295
139.639,7.330237295
141.389,7.291237295
143.161,7.245237295
144.954,7.192237295
146.771,7.138237295
148.61,7.090237295
150.472,7.048237295
152.357,7.007237295
154.266,6.965237295
156.199,6.918237295
158.156,6.869237295
160.138,6.819237295
162.145,6.771237295
164.176,6.723237295
166.234,6.672237295
168.316,6.618237295
170.426,6.562237295
172.561,6.506237295
174.723,6.452237295
176.912,6.401237295
179.129,6.352237295
181.374,6.302237295
183.646,6.250237295
185.947,6.196237295
188.277,6.142237295
190.636,6.087237295
193.025,6.032237295
195.444,5.973237295
197.893,5.909237295
200.372,5.845237295
202.883,5.785237295
205.425,5.731237295
207.999,5.678237295
210.605,5.620237295
213.244,5.558237295
215.916,5.492237295
218.622,5.425237295
221.361,5.363237295
224.135,5.303237295
226.943,5.241237295
229.787,5.173237295
232.666,5.103237295
235.581,5.035237295
238.533,4.969237295
241.522,4.903237295
244.548,4.836237295
247.613,4.767237295
250.715,4.698237295
253.857,4.626237295
257.037,4.555237295
260.258,4.484237295
263.519,4.410237295
266.821,4.337237295
270.164,4.263237295
273.55,4.187237295
276.977,4.111237295
280.448,4.034237295
283.962,3.959237295
287.52,3.881237295
291.122,3.806237295
294.77,3.729237295
298.464,3.651237295
302.204,3.572237295
305.99,3.493237295
309.824,3.415237295
313.706,3.336237295
317.637,3.255237295
321.617,3.175237295
325.647,3.092237295
329.727,3.010237295
333.859,2.928237295
338.042,2.846237295
342.278,2.764237295
346.567,2.680237295
350.909,2.596237295
355.306,2.512237295
359.758,2.428237295
364.266,2.345237295
368.83,2.260237295
373.452,2.176237295
378.131,2.092237295
382.869,2.008237295
387.666,1.925237295
392.524,1.841237295
397.442,1.756237295
402.422,1.672237295
407.465,1.587237295
412.57,1.501237295
417.74,1.415237295
422.974,1.327237295
428.274,1.238237295
433.64,1.149237295
439.074,1.061237295
444.575,0.973237295
450.146,0.887237295
455.786,0.799237295
461.497,0.711237295
467.28,0.625237295
473.135,0.539237295
479.063,0.454237295
485.066,0.370237295
491.144,0.285237295
497.298,0.200237295
503.529,0.113237295
509.839,0.026237295
516.227,-0.059762705
522.695,-0.145762705
529.245,-0.230762705
535.876,-0.315762705
542.591,-0.402762705
549.389,-0.488762705
556.273,-0.575762705
563.243,-0.662762705
570.301,-0.749762705
577.447,-0.836762705
584.682,-0.923762705
592.008,-1.011762705
599.426,-1.098762705
606.937,-1.186762705
614.542,-1.275762705
622.242,-1.362762705
630.039,-1.450762705
637.934,-1.537762705
645.927,-1.623762705
654.021,-1.709762705
662.215,-1.793762705
670.513,-1.877762705
678.915,-1.960762705
687.422,-2.041762705
696.035,-2.121762705
704.756,-2.199762705
713.587,-2.276762705
722.528,-2.353762705
731.582,-2.428762705
740.748,-2.502762705
750.03,-2.574762705
759.428,-2.646762705
768.944,-2.716762705
778.579,-2.785762705
788.334,-2.853762705
798.212,-2.918762705
808.214,-2.980762705
818.341,-3.038762705
828.595,-3.094762705
838.977,-3.147762705
849.489,-3.198762705
860.134,-3.246762705
870.911,-3.294762705
881.824,-3.341762705
892.873,-3.388762705
904.061,-3.432762705
915.389,-3.470762705
926.859,-3.502762705
938.472,-3.526762705
950.231,-3.544762705
962.138,-3.554762705
974.194,-3.555762705
986.4,-3.549762705
998.76,-3.536762705
1011.274,-3.521762705
1023.946,-3.505762705
1036.776,-3.492762705
1049.767,-3.481762705
1062.921,-3.474762705
1076.239,-3.470762705
1089.724,-3.470762705
1103.379,-3.473762705
1117.204,-3.479762705
1131.203,-3.487762705
1145.377,-3.497762705
1159.728,-3.507762705
1174.26,-3.517762705
1188.974,-3.527762705
1203.871,-3.534762705
1218.956,-3.540762705
1234.23,-3.543762705
1249.695,-3.545762705
1265.353,-3.545762705
1281.208,-3.543762705
1297.262,-3.539762705
1313.517,-3.535762705
1329.975,-3.530762705
1346.64,-3.526762705
1363.513,-3.521762705
1380.598,-3.517762705
1397.897,-3.513762705
1415.413,-3.510762705
1433.148,-3.507762705
1451.106,-3.505762705
1469.288,-3.503762705
1487.699,-3.501762705
1506.34,-3.499762705
1525.214,-3.496762705
1544.325,-3.493762705
1563.676,-3.490762705
1583.269,-3.485762705
1603.107,-3.479762705
1623.194,-3.472762705
1643.533,-3.463762705
1664.127,-3.452762705
1684.978,-3.440762705
1706.091,-3.426762705
1727.469,-3.409762705
1749.114,-3.390762705
1771.031,-3.368762705
1793.222,-3.344762705
1815.691,-3.317762705
1838.442,-3.287762705
1861.477,-3.255762705
1884.802,-3.218762705
1908.419,-3.178762705
1932.331,-3.134762705
1956.543,-3.086762705
1981.059,-3.033762705
2005.882,-2.976762705
2031.016,-2.914762705
2056.465,-2.847762705
2082.232,-2.775762705
2108.323,-2.699762705
2134.74,-2.617762705
2161.489,-2.531762705
2188.572,-2.441762705
2215.995,-2.345762705
2243.762,-2.244762705
2271.876,-2.137762705
2300.343,-2.025762705
2329.167,-1.907762705
2358.351,-1.783762705
2387.902,-1.652762705
2417.822,-1.514762705
2448.118,-1.368762705
2478.793,-1.214762705
2509.852,-1.052762705
2541.301,-0.882762705
2573.144,-0.701762705
2605.385,-0.510762705
2638.031,-0.307762705
2671.086,-0.092762705
2704.555,0.137237295
2738.443,0.382237295
2772.756,0.645237295
2807.499,0.928237295
2842.677,1.231237295
2878.296,1.557237295
2914.361,1.906237295
2950.878,2.277237295
2987.853,2.672237295
3025.291,3.090237295
3063.198,3.529237295
3101.58,3.985237295
3140.443,4.453237295
3179.793,4.926237295
3219.636,5.396237295
3259.979,5.856237295
3300.826,6.296237295
3342.186,6.709237295
3384.064,7.087237295
3426.467,7.425237295
3469.4,7.720237295
3512.872,7.969237295
3556.889,8.175237295
3601.457,8.338237295
3646.583,8.462237295
3692.275,8.551237295
3738.54,8.610237295
3785.384,8.644237295
3832.815,8.661237295
3880.841,8.664237295
3929.468,8.660237295
3978.705,8.651237295
4028.558,8.642237295
4079.036,8.633237295
4130.147,8.626237295
4181.898,8.623237295
4234.297,8.624237295
4287.354,8.629237295
4341.074,8.641237295
4395.468,8.661237295
4450.544,8.691237295
4506.31,8.734237295
4562.774,8.792237295
4619.946,8.869237295
4677.834,8.967237295
4736.448,9.089237295
4795.796,9.238237295
4855.888,9.415237295
4916.732,9.623237295
4978.339,9.861237295
5040.718,10.1332373
5103.879,10.4392373
5167.831,10.7782373
5232.584,11.1482373
5298.149,11.5442373
5364.535,11.9582373
5431.753,12.3742373
5499.813,12.7732373
5568.727,13.1332373
5638.503,13.4292373
5709.154,13.6462373
5780.69,13.7692373
5853.123,13.7912373
5926.463,13.7102373
6000.722,13.5212373
6075.911,13.2242373
6152.043,12.8182373
6229.128,12.3102373
6307.18,11.7102373
6386.209,11.0392373
6466.229,10.3242373
6547.251,9.590237295
6629.289,8.863237295
6712.354,8.157237295
6796.461,7.488237295
6881.621,6.862237295
6967.848,6.286237295
7055.156,5.761237295
7143.558,5.287237295
7233.067,4.866237295
7323.698,4.496237295
7415.464,4.181237295
7508.381,3.919237295
7602.461,3.710237295
7697.721,3.557237295
7794.174,3.462237295
7891.835,3.428237295
7990.721,3.464237295
8090.845,3.574237295
8192.224,3.768237295
8294.873,4.054237295
8398.809,4.439237295
8504.047,4.925237295
8610.603,5.500237295
8718.494,6.124237295
8827.737,6.727237295
8938.35,7.230237295
9050.349,7.584237295
9163.75,7.772237295
9278.572,7.802237295
9394.834,7.682237295
9512.552,7.409237295
9631.744,6.964237295
9752.431,6.314237295
9874.63,5.437237295
9998.359,4.341237295
10123.64,3.081237295
10250.49,1.759237295
10378.93,0.465237295
10508.979,-0.741762705
10640.656,-1.842762705
10773.984,-2.837762705
10908.983,-3.736762705
11045.674,-4.545762705
11184.077,-5.273762705
11324.215,-5.927762705
11466.107,-6.513762705
11609.779,-7.034762705
11755.25,-7.493762705
11902.545,-7.894762705
12051.685,-8.238762705
12202.693,-8.524762705
12355.594,-8.751762705
12510.41,-8.918762705
12667.167,-9.021762705
12825.888,-9.058762705
12986.597,-9.023762705
13149.319,-8.909762705
13314.082,-8.708762705
13480.908,-8.408762705
13649.825,-7.995762705
13820.858,-7.446762705
13994.035,-6.728762705
14169.381,-5.794762705
14346.925,-4.585762705
14526.692,-3.080762705
14708.713,-1.465762705
14893.015,-0.095762705
15079.625,0.868237295
15268.574,1.451237295
15459.891,1.752237295
15653.604,1.867237295
15849.745,1.840237295
16048.344,1.654237295
16249.431,1.238237295
16453.037,0.500237295
16659.195,-0.590762705
16867.936,-1.910762705
17079.293,-3.119762705
17293.297,-4.003762705
17509.984,-4.649762705
17729.385,-5.204762705
17951.535,-5.756762705
18176.471,-6.353762705
18404.223,-7.037762705
18634.83,-7.869762705
18868.324,-8.940762705
19104.746,-10.3577627
19344.131,-12.2127627
19586.514,-14.5067627
19831.936,-17.0737627
20080.43,-19.6537627
20332.039,-22.1057627
20586.801,-24.4307627
20844.756,-26.7247627
21105.941,-29.1097627
21370.402,-31.7417627
21638.174,-34.8097627
21909.303,-38.4917627
22183.828,-42.8357627
22461.793,-47.9567627
22743.24,-53.9517627
23028.215,-60.9687627
23316.76,-68.7527627
